Place,Var  Pts,Name,1  Mile,2  Mile,2nd  Split,Final,3rd  Split,5k  Equiv,Kick,Pace,Change  from  '09
1,1,Martis,4:59,10:30,5:31,15:25,4:55,15:56,5:08,15:19,0:06
2,1,Renberg,4:55,10:25,5:30,15:26,5:01,15:57,5:09,16:56,-1:30
3,1,Barnett,4:59,10:48,5:49,16:09,5:21,16:41,5:23,15:48,0:21
4,1,Bishop,5:02,10:51,5:49,16:19,5:28,16:52,5:26,16:35,-0:16
5,1,DolsenD,5:12,11:24,6:12,16:48,5:24,17:22,5:36,17:35,-0:47
6,,Elms,5:14,11:24,6:10,17:06,5:42,17:40,5:42,18:06,-1:00
7,,Hochrein,5:16,11:24,6:08,17:09,5:45,17:43,5:43,17:03,0:06
8,,Gieseker,5:11,11:29,6:18,17:13,5:44,17:47,5:44,17:39,-0:26
9,,Parker,5:09,11:20,6:11,17:21,6:01,17:56,5:47,16:46,0:35
10,,Praschan,5:15,11:30,6:15,17:27,5:57,18:02,5:49,18:08,-0:41
11,,Moeller,5:10,11:39,6:29,17:33,5:54,18:08,5:51,17:54,-0:21
12,,Henry,5:13,11:20,6:07,17:46,6:26,18:22,5:55,19:30,-1:44
13,,McGee,5:11,11:35,6:24,17:52,6:17,18:28,5:57,,
14,,DolsenJ,5:22,11:57,6:35,17:59,6:02,18:35,6:00,,
15,,Dew,5:22,11:57,6:35,18:02,6:05,18:38,6:01,,
16,,Crowley,5:22,11:50,6:28,18:11,6:21,18:47,6:04,,
17,,Park,5:22,12:00,6:38,18:25,6:25,19:02,6:08,18:19,0:06
18,,Althaus,5:34,11:59,6:25,18:27,6:28,19:04,6:09,,
19,,Chandler,5:51,12:21,6:30,18:29,6:08,19:06,6:10,20:31,-2:02
20,,Dow,5:34,12:15,6:41,18:34,6:19,19:11,6:11,20:03,-1:29
21,,Lahnala,5:56,12:29,6:33,18:39,6:10,19:16,6:13,19:25,-0:46
22,,Jacobsen,5:56,12:29,6:33,18:40,6:11,19:17,6:13,,
23,,Kitto,5:49,12:18,6:29,18:41,6:23,19:18,6:14,,
24,,Dunn,5:41,12:15,6:34,18:41,6:26,19:18,6:14,20:26,-1:45
25,,Qin,5:51,12:26,6:35,18:42,6:16,19:19,6:14,19:48,-1:06
26,,Romero,6:02,12:30,6:28,18:44,6:14,19:21,6:15,18:53,-0:09
27,,Phelps,6:02,12:37,6:35,18:45,6:08,19:22,6:15,,
28,,Braun,5:56,12:29,6:33,18:46,6:17,19:24,6:15,,
29,,Hays,5:48,12:22,6:34,18:53,6:31,19:31,6:18,,
30,,Lamus,5:58,12:37,6:39,18:55,6:18,19:33,6:18,,
31,,Allport,5:41,12:20,6:39,18:57,6:37,19:35,6:19,19:03,-0:06
32,,Castor,5:58,12:36,6:38,18:58,6:22,19:36,6:19,,
33,,Dana,5:34,12:15,6:41,18:58,6:43,19:36,6:19,,
34,,Boyd,5:58,12:37,6:39,18:59,6:22,19:37,6:20,21:02,-2:03
35,,Soisson,5:56,12:35,6:39,19:00,6:25,19:38,6:20,18:54,0:06
36,,Bredernitz,5:58,12:36,6:38,19:04,6:28,19:42,6:21,19:09,-0:05
37,,Milley,5:50,12:36,6:46,19:08,6:32,19:46,6:23,19:08,0:00
38,,Furey,6:09,12:48,6:39,19:10,6:22,19:48,6:23,,
39,,Pearsall,5:51,12:45,6:54,19:17,6:32,19:56,6:26,17:22,1:55
40,,Gardner,5:55,12:24,6:29,19:18,6:54,19:57,6:26,20:21,-1:03
41,,Bertoia,6:09,12:46,6:37,19:18,6:32,19:57,6:26,21:17,-1:59
42,,Lenk,6:00,12:36,6:36,19:18,6:42,19:57,6:26,21:03,-1:45
43,,Hunter,5:56,12:36,6:40,19:27,6:51,20:06,6:29,21:02,-1:35
44,,Saripalli,5:59,12:36,6:37,19:31,6:55,20:10,6:30,,
45,,Hibbard,6:09,12:49,6:40,19:48,6:59,20:28,6:36,,
46,,McCune,6:20,13:14,6:54,20:45,7:31,21:26,6:55,,
47,,Pederson,6:47,13:57,7:10,20:45,6:48,21:26,6:55,,
48,,Lewis,6:11,13:24,7:13,21:30,8:06,22:13,7:10,,
49,,Leptich,6:17,13:57,7:40,21:30,7:33,22:13,7:10,,
50,,Wright,6:17,13:57,7:40,21:34,7:37,22:17,7:11,20:30,1:04
51,,Garrison,7:10,14:18,7:08,22:06,7:48,22:50,7:22,21:45,0:21
52,,Barnich,6:35,14:18,7:43,22:11,7:53,22:55,7:24,21:48,0:23
53,,Frey,6:49,14:28,7:39,22:28,8:00,23:13,7:29,,
54,,Krebs,7:10,15:15,8:05,22:49,7:34,23:35,7:36,20:35,2:14
55,,Adams,7:36,15:38,8:02,22:56,7:18,23:42,7:39,,
56,,McGuire,7:19,15:38,8:19,23:19,7:41,24:06,7:46,,
57,,Head,7:19,15:38,8:19,24:12,8:34,25:00,8:04,,
58,,Hoffman,7:57,17:20,9:23,25:35,8:15,26:26,8:32,,
